time_s,x_m,y_m,speed_ms,heading_rad
0.0,367570.9695028114,4342289.372372511,3.0880494515721004,-0.9070491629577465
5.0,367580.48424976255,4342277.252264035,3.0756899553175097,-0.8965214625044609
10.0,367590.17155873944,4342265.349340322,3.063374769942329,-0.8660938206809612
15.0,367600.26585456956,4342253.872721634,3.050992475709867,-0.8114525099020952
20.0,367611.0416542758,4342243.123848485,3.038383064500422,-0.7306085022902925
25.0,367622.6449967379,4342233.374086906,3.0254208645448273,-0.6356549800919634
30.0,367635.04317925073,4342224.770399423,3.0120544294933067,-0.5406901921359392
35.0,367648.06913578854,4342217.279884227,2.9983249524421076,-0.4597806281237269
40.0,367661.49045999505,4342210.670469321,2.984356427564706,-0.40498121903345574
45.0,367675.0691778953,4342204.551678584,2.9703214631690673,-0.3812770826375222
50.0,367688.6360205737,4342198.572479518,2.9563622107058145,-0.3788411704756503
55.0,367702.0668857077,4342192.454396374,2.9425838243149163,-0.39704315572397125
60.0,367715.2307739439,4342185.929316796,2.9290898559183165,-0.43520035952179076
65.0,367727.9810968477,4342178.760404055,2.9159861735688244,-0.49279513818700565
70.0,367740.1000759192,4342170.683628782,2.9033995356617277,-0.5780053688702034
75.0,367751.2975788909,4342161.466093263,2.891462663617546,-0.6837487008983725
80.0,367761.32782798214,4342151.067245651,2.880228634922208,-0.7969272703228344
85.0,367770.0718564862,4342139.628747663,2.869652550784995,-0.90335750671929
90.0,367777.597897652,4342127.408232738,2.8596120716397273,-0.9897268076050635
95.0,367784.17169493565,4342114.69894994,2.849950443709981,-1.0454535989243507
100.0,367790.1700300117,4342101.755720124,2.8405231290694464,-1.073495395441329
105.0,367795.8860371972,4342088.732556096,2.8312398306152353,-1.0807590020389897
110.0,367801.592209488,4342075.752200593,2.8220274822616336,-1.0671775337807152
115.0,367807.5489488657,4342062.932606783,2.8128151576359754,-1.0340809170766998
120.0,367814.01009654795,4342050.409117594,2.803522471652513,-0.976845558614883
125.0,367821.2861326163,4342038.39351889,2.7940264094505407,-0.8934929388125684
130.0,367829.56341206696,4342027.100481411,2.784207548504206,-0.796353108476485
135.0,367838.8356967152,4342016.669188831,2.773998865725297,-0.7000946509860683
140.0,367848.93044915155,4342007.096918308,2.76341874145507,-0.6197186820579321
145.0,367859.56665166514,4341998.201228557,2.752577970685742,-0.5680748269477494
150.0,367870.4572559582,4341989.695645551,2.741630070291294,-0.5419445473065305
155.0,367881.39331114065,4341981.327457325,2.7307012476218553,-0.5396200597257285
160.0,367892.16375603195,4341972.824639799,2.7199231934148007,-0.5632338445103864
165.0,367902.53617258294,4341963.9135452295,2.7094326264849466,-0.613395838812972
170.0,367912.2499069649,4341954.354839052,2.699360676553307,-0.6891282770472725
175.0,367921.01719524653,4341943.979493152,2.6898166016106964,-0.7878940533660631
180.0,367928.53848014155,4341932.718723352,2.6808661823371693,-0.9057222279445091
185.0,367934.49556367303,4341920.6027749935,2.672521907782341,-1.045701839591657
190.0,367938.52242539474,4341907.755694407,2.664739354363557,-1.203262826536581
195.0,367940.4230222359,4341894.46099809,2.6573682639020646,-1.361448037258434
200.0,367940.2845977929,4341881.061847095,2.650212177119007,-1.5016284447188624
205.0,367938.4657944095,4341867.81541406,2.6431205902299615,-1.6119461388003176
210.0,367935.3849397343,4341854.836144766,2.6360245408067104,-1.6922112844684107
215.0,367931.5256043278,4341842.099874595,2.628920639710079,-1.7315444434108647
220.0,367927.51756393467,4341829.445190601,2.621856680455116,-1.7135909157993843
225.0,367924.2630675887,4341816.617346594,2.6149106394512915,-1.6089678489517314
230.0,367923.1655411413,4341803.484911816,2.6080976163499563,-1.3789248988465104
235.0,367925.9615159928,4341790.684347271,2.601014462763473,-1.011238476187603
240.0,367933.8138451421,4341780.312105018,2.5924493980556567,-0.5135463954519381
245.0,367945.81372808333,4341775.540734845,2.581377576587939,0.07945105543217137
250.0,367958.23131437565,4341778.700471955,2.5694198374359023,0.7433286339834383
255.0,367965.7713365676,4341788.953255327,2.5586820841494466,1.4515325106410746
260.0,367964.6943450761,4341801.559730152,2.545949859737536,2.175576442229994
265.0,367955.5806808183,4341810.252256405,2.5352661299031114,2.8843762838806994
270.0,367943.0301635053,4341811.194889419,2.528201953321472,3.5332676132498255
275.0,367932.069854143,4341804.923967211,2.5222565592758754,4.062836655705391
280.0,367925.0083635667,4341794.412167008,2.5158041617598843,4.4548557402905695
285.0,367921.93116856343,4341782.137203013,2.5096591480887165,4.791388245402739
290.0,367923.7548012185,4341769.694858091,2.5034600425412563,5.2480364267442745
295.0,367931.4312630083,4341759.850226651,2.4956061385234816,5.824073829723179
300.0,367943.30703001935,4341756.319062314,2.485008703420195,6.4887900996655254
305.0,367954.6211439319,4341761.145700508,2.474156148712958,7.208015835137207
310.0,367959.79840706463,4341772.233064289,2.463642328408354,7.945653283391449
315.0,367956.25213455874,4341783.896203068,2.45179418130897,8.660481635712186
320.0,367946.1205627646,4341790.649991425,2.4428320806061574,9.305290751229538
325.0,367933.915421036,4341790.605624533,2.436833851589708,9.829845017264779
330.0,367922.950913033,4341785.167958,2.4316279004667343,10.216764100644994
335.0,367914.2182058119,4341776.568764222,2.4261134861189824,10.46597730749121
340.0,367907.1570062919,4341766.555638669,2.4202645878297964,10.57748463780343
345.0,367900.5253431665,4341756.281071209,2.4143592733373826,10.551286091581654
350.0,367892.95966341,4341746.72753119,2.4086988767472444,10.38738166882588
355.0,367883.43204976176,4341739.225941334,2.403510561748692,10.085771369536111
360.0,367871.90919488226,4341735.707566973,2.398487045120931,9.646457053935887
365.0,367860.2170644142,4341738.173903478,2.3920421631321744,9.076567432749501
370.0,367852.19134063454,4341746.880056228,2.382382591477255,8.4083903951513
375.0,367851.62930453743,4341758.606904112,2.371225184357674,7.68329251201754
380.0,367859.033999288,4341767.636799774,2.3620722658540854,6.944941071172825
385.0,367870.5451432399,4341769.480084567,2.3517288663291205,6.244436489084583
390.0,367880.75332544674,4341763.82209176,2.343065758147286,5.630187097872314
395.0,367886.4615262942,4341753.593427145,2.337053263963547,5.144120277502557
400.0,367887.5201915405,4341741.891598791,2.3322121661868622,4.795756395167863
405.0,367885.3053136764,4341730.335547549,2.3274598476076984,4.585098389367166
410.0,367881.48771010496,4341719.209823224,2.322577301573018,4.512146260100466
415.0,367877.64112166816,4341708.118725584,2.317717948248888,4.576900007367761
420.0,367875.32166702737,4341696.652587998,2.3130461121846935,4.779359631169054
425.0,367876.1552521557,4341685.040903301,2.308390412952534,5.119447376542742
430.0,367881.4463030977,4341674.747333469,2.3027746339903805,5.584138347280601
435.0,367891.0312249613,4341668.385473931,2.2948388949424525,6.1410331717144935
440.0,367902.4666572968,4341668.3655660255,2.2850174129891894,6.754332294874249
445.0,367911.71665716224,4341674.9944611,2.276288519246852,7.386753152232242
450.0,367915.33453417954,4341685.752109263,2.26670261247849,7.996164711512308
455.0,367912.44653424964,4341696.704791933,2.256228941022173,8.542314734085021
460.0,367904.644466565,4341704.901075154,2.2475569299117844,8.988453198023825
465.0,367894.3254305727,4341709.544071352,2.241100799416781,9.304632898024712
470.0,367883.1813254644,4341711.47652785,2.2359725667443127,9.48312546866184
475.0,367871.90778379585,4341712.14079855,2.2313467704618697,9.52462257582337
480.0,367860.685206447,4341713.057115133,2.2266637065176376,9.432590633292591
485.0,367849.7834566309,4341715.664745949,2.221331561153017,9.212818600545042
490.0,367840.0524013712,4341721.091557114,2.214560483504039,8.87904357991737
495.0,367833.05755142483,4341729.661424599,2.2058153291209575,8.452127095141755
500.0,367830.5990666231,4341740.362044369,2.1958579750556386,7.958537595989364
505.0,367833.6849852373,4341750.8270829115,2.1869527571215905,7.428892103416617
510.0,367841.6450601006,4341758.225413906,2.1791515790115583,6.893865600061454
515.0,367852.20973974315,4341760.666224568,2.16995940623697,6.394544983185385
520.0,367862.7187546986,4341758.04127212,2.161509538703202,5.962834532644414
525.0,367871.4540911292,4341751.628550859,2.1548227068653527,5.63122738217809
530.0,367878.1340279514,4341743.084133671,2.149527549457324,5.426029492896266
535.0,367883.5576907753,4341733.692445989,2.144872314099422,5.358136040419953
540.0,367888.9553835011,4341724.304553854,2.1402427804760125,5.427948464477636
545.0,367895.5468258015,4341715.754964922,2.1350350856943456,5.632176461264577
550.0,367904.04227128864,4341709.164394296,2.128586876606012,5.938388415674496
555.0,367914.2080813207,4341705.822342284,2.120602238790742,6.322264517932342
560.0,367924.80824624613,4341706.801787576,2.1117767313770446,6.761697625196464
565.0,367933.8582955843,4341712.309080822,2.1038474961343216,7.231271015524213
570.0,367939.37358066475,4341721.308531128,2.0964151914870337,7.70730504712011
575.0,367940.27204331616,4341731.792972199,2.0872177119144437,8.15310353527969
580.0,367936.79932963604,4341741.69125607,2.0780695999628733,8.543299545345443
585.0,367930.11672122654,4341749.742199866,2.0702543640192315,8.850416659260098
590.0,367921.60648197186,4341755.792168166,2.0638728319351904,9.049270622846748
595.0,367912.35137941083,4341760.57418633,2.058325686727075,9.120063634245435
