time_s,x_m,y_m,speed_ms,heading_rad
0.0,362986.07364527433,4343344.982452855,4.121254283685692,-0.29879870762254845
5.0,363005.89580710296,4343338.806858439,4.177749666998591,-0.30953548744020287
10.0,363025.80760317045,4343332.008468272,4.233281566345612,-0.3494745239558708
15.0,363045.58478666167,4343324.063809967,4.2878231663195185,-0.4123330909243534
20.0,363064.99074486253,4343314.620873621,4.3413362365304895,-0.48886430669933256
25.0,363083.824602295,4343303.551828111,4.393774780973771,-0.5681230366519803
30.0,363101.9878959517,4343290.958428927,4.436933369521278,-0.6391604373763332
35.0,363119.3066631494,4343277.234329592,4.406333052558293,-0.699038938499135
40.0,363135.7897814122,4343262.743577132,4.376190335078775,-0.743581694673262
45.0,363151.69012618635,4343247.831265198,4.346527249861739,-0.7669929021513969
50.0,363167.3468924671,4343232.8745200345,4.317389406021549,-0.7665182910542097
55.0,363183.115368347,4343218.247322684,4.288828849989049,-0.7427023274616098
