t,agent,err_deg,r_des_deg,derr_deg,P_deg,I_deg,D_deg,raw_deg,rud_deg
12.599999999999971,0,21.091707013684978,0.042183414027369956,-3.7038718707432827,12.655024208210987,0.04,-1.8519359353716414,10.843088272839346,10.843088272839346
12.69999999999997,0,20.715588734162953,0.041431177468325905,-3.723635572372275,12.429353240497772,0.04,-1.8618177861861376,10.607535454311634,10.607535454311634
12.79999999999997,0,20.337601492576407,0.04067520298515282,-3.7429900111208143,12.202560895545844,0.04,-1.8714950055604072,10.371065889985438,10.371065889985438
12.89999999999997,0,19.95778668413172,0.039915573368263436,-3.7619334968444926,11.974672010479031,0.04,-1.8809667484222463,10.133705262056786,10.133705262056786
12.99999999999997,0,19.57618586138976,0.03915237172277952,-3.780464384113471,11.745711516833854,0.04,-1.8902321920567355,9.89547932477712,9.89547932477712
13.09999999999997,0,19.19284072976869,0.03838568145953738,-3.798581072347739,11.515704437861213,0.04,-1.8992905361738694,9.656413901687346,9.656413901687346
13.199999999999969,0,18.807793143043693,0.03761558628608739,-3.8162820059478038,11.284675885826214,0.04,-1.9081410029739019,9.416534882852314,9.416534882852314
13.299999999999969,0,18.4210850988256,0.0368421701976512,-3.833565674420203,11.052651059295359,0.04,-1.9167828372101015,9.17586822208526,9.17586822208526
13.399999999999968,0,18.03275873403557,0.03606551746807114,-3.8504306124981325,10.819655240421342,0.04,-1.9252153062490662,8.934439934172277,8.934439934172277
13.499999999999968,0,17.64285632036444,0.035285712640728883,-3.8668754002579013,10.585713792218664,0.04,-1.9334377001289507,8.692276092089715,8.692276092089715
13.599999999999968,0,17.25142025972355,0.034502840519447096,-3.882898663229552,10.35085215583413,0.04,-1.941449331614776,8.449402824219355,8.449402824219355
13.699999999999967,0,16.858493079683445,0.03371698615936689,-3.8984990725036295,10.115095847810066,0.04,-1.9492495362518147,8.20584631155825,8.20584631155825
13.799999999999967,0,16.46411742890509,0.03292823485781018,-3.9136753448320443,9.878470457343054,0.04,-1.9568376724160221,7.9616327849270325,7.9616327849270325
13.899999999999967,0,16.068336072561152,0.03213667214512231,-3.928426242725075,9.641001643536692,0.04,-1.9642131213625376,7.716788522174155,7.716788522174155
13.999999999999966,0,15.67119188774919,0.03134238377549838,-3.94275057454273,9.402715132649513,0.04,-1.971375287271365,7.471339845378149,7.471339845378149
14.099999999999966,0,15.272727858894733,0.030545455717789462,-3.9566471945813566,9.163636715336839,0.04,-1.9783235972906783,7.225313118046162,7.225313118046162
14.199999999999966,0,14.872987073149115,0.02974597414629823,-3.970115003155931,8.92379224388947,0.04,-1.9850575015779655,6.978734742311504,6.978734742311504
14.299999999999965,0,14.472012715779107,0.02894402543155821,-3.983152946676582,8.683207629467462,0.04,-1.991576473338291,6.731631156129172,6.731631156129172
14.399999999999965,0,14.069848065549246,0.028139696131098492,-3.9957600177207384,8.441908839329548,0.04,-1.9978800088603692,6.484028830469179,6.484028830469179
14.499999999999964,0,13.66653649009753,0.027333072980195064,-4.007935255100516,8.199921894058518,0.04,-2.003967627550258,6.235954266508261,6.235954266508261
14.599999999999964,0,13.262121441307666,0.02652424288261533,-4.019677743924518,7.957272864784599,0.04,-2.009838871962259,5.987433992822341,5.987433992822341
14.699999999999964,0,12.856646450674404,0.02571329290134881,-4.030986615655509,7.713987870404642,0.04,-2.0154933078277546,5.7384945625768875,5.7384945625768875
14.799999999999963,0,12.450155124661908,0.024900310249323817,-4.04186104816258,7.470093074797144,0.04,-2.02093052408129,5.489162550715855,5.489162550715855
14.899999999999963,0,12.04269114006404,0.02408538228012808,-4.052300265768645,7.225614684038423,0.04,-2.0261501328843226,5.239464551154103,5.239464551154103
14.999999999999963,0,11.63429823935156,0.02326859647870312,-4.062303539293284,6.980578943610936,0.04,-2.031151769646642,4.989427173964294,4.989427173964294
15.099999999999962,0,11.2250202260256,0.022450040452051203,-4.071870186089821,6.73501213561536,0.04,-2.0359350930449107,4.739077042570449,4.739077042570449
15.199999999999962,0,10.814900959960434,0.02162980191992087,-4.0809995700786965,6.48894057597626,0.04,-2.0404997850393483,4.488440790936911,4.488440790936911
15.299999999999962,0,10.403984352749102,0.020807968705498208,-4.089691101774576,6.242390611649462,0.04,-2.044845550887288,4.237545060762174,4.237545060762174
15.399999999999961,0,9.992314363043883,0.019984628726087767,-4.097944238309924,5.99538861782633,0.04,-2.048972119154962,3.986416498671368,3.986416498671368
15.499999999999961,0,9.579934991894916,0.01915986998378983,-4.105758483452402,5.747960995136949,0.04,-2.052879241726201,3.7350817534107477,3.7350817534107477
15.59999999999996,0,9.166890278093408,0.01833378055618682,-4.113133387618197,5.5001341668560455,0.04,-2.0565666938090983,3.4835674730469472,3.4835674730469472
15.69999999999996,0,8.753224293505241,0.01750644858701048,-4.120068547880069,5.251934576103143,0.04,-2.0600342739400346,3.231900302163109,3.231900302163109
15.79999999999996,0,8.338981138413013,0.01667796227682603,-4.12656360797051,5.003388683047808,0.04,-2.063281803985255,2.9801068790625527,2.9801068790625527
15.89999999999996,0,7.924204936853625,0.01584840987370725,-4.132618258280312,4.754522962112175,0.04,-2.066309129140156,2.728213832972019,2.728213832972019
15.99999999999996,0,7.5089398319570195,0.015017879663914038,-4.138232235851603,4.5053638991742115,0.04,-2.0691161179258013,2.47624778124841,2.47624778124841
16.09999999999996,0,7.093229981289474,0.014186459962578947,-4.143405324366555,4.255937988773684,0.04,-2.0717026621832777,2.224235326590406,2.224235326590406
16.19999999999996,0,6.6771195521944176,0.013354239104388835,-4.148137354131132,4.006271731316651,0.04,-2.074068677065566,1.9722030542510844,1.9722030542510844
16.29999999999996,0,6.260652717140504,0.012521305434281007,-4.1524282020534695,3.756391630284302,0.04,-2.0762141010267348,1.7201775292575672,1.7201775292575672
16.399999999999963,0,5.843873649068225,0.01168774729813645,-4.156277791618015,3.506324189440935,0.04,-2.0781388958090075,1.4681852936319275,1.4681852936319275
16.499999999999964,0,5.426826516740839,0.010853653033481677,-4.159686092854302,3.256095910044503,0.04,-2.079843046427151,1.2162528636173524,1.2162528636173524
16.599999999999966,0,5.009555480101666,0.010019110960203331,-4.162653122301195,3.0057332880609993,0.04,-2.0813265611505973,0.9644067269104023,0.9644067269104023
16.699999999999967,0,4.592104685631657,0.009184209371263314,-4.165178942965991,2.7552628113789943,0.04,-2.0825894714829953,0.7126733398959988,0.7126733398959988
16.79999999999997,0,4.174518261714993,0.008349036523429984,-4.167263664278917,2.5047109570289954,0.04,-2.0836318321394587,0.46107912488953673,0.46107912488953673
16.89999999999997,0,3.756840314010051,0.007513680628020102,-4.168907442042402,2.25410418840603,0.04,-2.084453721021201,0.20965046738482915,0.20965046738482915
16.99999999999997,0,3.3391149208218294,0.006678229841643658,-4.170110478376084,2.0034689524930975,0.04,-2.085055239188042,-0.04158628669494463,-0.04158628669494463
17.099999999999973,0,2.9213861284854845,0.005842772256970969,-4.170873021656583,1.7528316770912906,0.04,-2.0854365108282913,-0.2926048337370008,-0.2926048337370008
17.199999999999974,0,2.5036979467555183,0.005007395893511036,-4.171195366452294,1.5022187680533112,0.04,-2.085597683226147,-0.543378915172836,-0.543378915172836
17.299999999999976,0,2.086094344199371,0.004172188688398742,-4.171077853453917,1.2516566065196224,0.04,-2.0855389267269584,-0.7938823202073356,-0.7938823202073356
17.399999999999977,0,1.6686192436001415,0.003337238487200283,-4.170520869399806,1.0011715461600847,0.04,-2.085260434699903,-1.044088888539818,-1.044088888539818
17.49999999999998,0,1.2513165173704601,0.0025026330347409204,-4.169524846996538,0.750789910422276,0.04,-2.084762423498269,-1.2939725130759927,-1.2939725130759927
17.59999999999998,0,0.834229982969028,0.0016684599659380558,-4.168090264834821,0.5005379897814168,0.04,-2.0840451324174105,-1.5435071426359939,-1.5435071426359939
17.69999999999998,0,0.41740339833239876,0.0008348067966647975,-4.166217647300674,0.25044203899943923,0.04,-2.083108823650337,-1.7926667846508977,-1.7926667846508977
17.799999999999983,0,0.000880457312893399,1.7609146257867983e-06,-4.163907564481621,0.0005282743877360394,0.04,-2.0819537822408103,-2.041425507853074,-2.041425507853074
17.899999999999984,0,-0.4152952148751148,-0.0008305904297502295,-4.161160632068557,-0.24917712892506888,0.03916940957024977,-2.0805803160342786,-2.2905880353890975,-2.2905880353890975
17.999999999999986,0,-0.8310799205608328,-0.0016621598411216657,-4.157976054665573,-0.49864795233649967,0.037507249729128105,-2.0789880273327865,-2.5401287299401587,-2.5401287299401587
18.099999999999987,0,-1.2464298941150644,-0.002492859788230129,-4.154353081691558,-0.7478579364690386,0.03501438994089798,-2.077176540845779,-2.79002008737392,-2.79002008737392
18.19999999999999,0,-1.6613013067768425,-0.003322602613553685,-4.1502910106626425,-0.9967807840661055,0.0316917873273443,-2.0751455053313212,-3.0402345020700827,-3.0402345020700827
18.29999999999999,0,-2.0756502714972602,-0.004151300542994521,-4.145789187380193,-1.2453901628983561,0.027540486784349772,-2.0728945936900964,-3.2907442698041027,-3.2907442698041027
18.39999999999999,0,-2.48943284780081,-0.00497886569560162,-4.140847006113231,-1.493659708680486,0.02256162108874815,-2.0704235030566154,-3.541521590648353,-3.541521590648353
