t,psi_deg,r_meas_deg_s,rud_deg
0.0,0.0006885293826699827,nan,0.0
0.5,0.002065588148009948,nan,0.0
1.0,0.004131176296019896,nan,0.0
1.5,0.006885293826699827,nan,0.0
2.0,0.010327940740049741,nan,0.0
2.5,0.014459117036069637,nan,0.0
3.0,0.019278822714759516,nan,0.0
3.5,0.02478705777611938,nan,0.0
4.0,0.030983822220149223,nan,0.0
4.5,0.03786911604684905,nan,0.0
5.0,0.04544293925621885,nan,0.0
5.5,0.053705291848258646,nan,0.0
6.0,0.06265617382296843,nan,0.0
6.5,0.07229558518034818,nan,0.0
7.0,0.08262352592039791,nan,0.0
7.5,0.09363999604311764,nan,0.0
8.0,0.10534499554850735,nan,0.0
8.5,0.11773852443656704,nan,0.0
9.0,0.1308205827072967,nan,0.0
9.5,0.14459117036069635,nan,0.0
10.0,0.159050287396766,nan,0.0
10.5,0.1741979338155056,nan,0.0
11.0,0.19003410961691522,nan,0.0
11.5,0.2065588148009948,nan,0.0
12.0,0.22377204936774436,nan,0.0
12.5,0.24167381331716392,nan,0.0
13.0,0.2602641066492535,nan,0.0
13.5,0.279542929364013,nan,0.0
14.0,0.2995102814614425,nan,0.0
14.5,0.320166162941542,nan,0.0
15.0,0.34151057380431143,nan,0.0
15.5,0.3635435140497509,nan,0.0
16.0,0.38626498367786033,nan,0.0
16.5,0.4096749826886397,nan,0.0
17.0,0.4337735110820891,nan,0.0
17.5,0.4585605688582085,nan,0.0
18.0,0.48403615601699784,nan,0.0
18.5,0.5102002725584572,nan,0.0
19.0,0.5370529184825865,nan,0.0
19.5,0.5645940937893859,nan,0.0
20.0,0.5928237984788551,nan,0.0
20.5,0.6217420325509944,nan,0.0
21.0,0.6513487960058036,nan,0.0
21.5,0.6816440888432829,nan,0.0
22.0,0.712627911063432,nan,0.0
22.5,0.7443002626662513,nan,0.0
23.0,0.7766611436517404,nan,0.0
23.5,0.8097105540198997,nan,0.0
24.0,0.8434484937707288,nan,0.0
24.5,0.877874962904228,nan,0.0
25.0,0.9129899614203971,nan,0.0
25.5,0.9487934893192362,nan,0.0
26.0,0.9852855466007453,nan,0.0
26.5,1.0224661332649243,nan,0.0
27.0,1.0603352493117735,nan,0.0
27.5,1.0988928947412926,nan,0.0
28.0,1.1381390695534817,nan,0.0
28.5,1.1780737737483407,nan,0.0
29.0,1.2186970073258696,nan,0.0
29.5,1.2600087702860687,nan,0.0
30.0,1.3020090626289378,nan,0.0
30.5,1.3446978843544768,nan,0.0
31.0,1.3880752354626857,nan,0.0
31.5,1.4321411159535646,nan,0.0
32.0,1.4768955258271135,nan,0.0
32.5,1.5223384650833325,nan,0.0
33.0,1.5684699337222214,nan,0.0
33.5,1.6152899317437803,nan,0.0
34.0,1.6627984591480092,nan,0.0
34.5,1.710995515934908,nan,0.0
35.0,1.759881102104477,nan,0.0
35.5,1.8094552176567158,nan,0.0
36.0,1.8597178625916246,nan,0.0
36.5,1.9106690369092034,nan,0.0
37.0,1.9623087406094522,nan,0.0
37.5,2.014636973692371,nan,0.0
38.0,2.06765373615796,nan,0.0
38.5,2.1213590280062187,nan,0.0
39.0,2.1757528492371474,nan,0.0
39.5,2.230835199850746,nan,0.0
40.0,2.2866060798470147,nan,0.0
40.5,2.3430654892259533,nan,0.0
41.0,2.4002134279875618,nan,0.0
41.5,2.4580498961318407,nan,0.0
42.0,2.5165748936587895,nan,0.0
42.5,2.5757884205684083,nan,0.0
43.0,2.635690476860697,nan,0.0
43.5,2.6962810625356557,nan,0.0
44.0,2.7575601775932843,nan,0.0
44.5,2.819527822033583,nan,0.0
45.0,2.8821839958565514,nan,0.0
45.5,2.94552869906219,nan,0.0
46.0,3.0095619316504982,nan,0.0
46.5,3.0742836936214766,nan,0.0
47.0,3.1396939849751253,nan,0.0
47.5,3.205792805711444,nan,0.0
48.0,3.2725801558304326,nan,0.0
48.5,3.340056035332091,nan,0.0
49.0,3.4082204442164197,nan,0.0
49.5,3.477073382483418,nan,0.0
50.0,3.5466148501330865,nan,0.0
50.5,3.616844847165425,nan,0.0
51.0,3.687763373580433,nan,0.0
51.5,3.7593704293781114,nan,0.0
52.0,3.8316660145584596,nan,0.0
52.5,3.904650129121478,nan,0.0
53.0,3.9783227730671666,nan,0.0
53.5,4.052683946395525,nan,0.0
54.0,4.127733649106553,nan,0.0
54.5,4.203471881200251,nan,0.0
55.0,4.27989864267662,nan,0.0
55.5,4.357013933535658,nan,0.0
56.0,4.4348177537773665,nan,0.0
56.5,4.513310103401745,nan,0.0
57.0,4.592490982408793,nan,0.0
57.5,4.672360390798511,nan,0.0
58.0,4.7529183285709,nan,0.0
58.5,4.8341647957259575,nan,0.0
59.0,4.916099792263686,nan,0.0
59.5,4.9987233181840836,nan,0.0
