file,T,steady_deg,peak_deg,t_peak_s,t63_s,delta_psi_deg,n_rows
scripts\rudder_step_-10.csv,119.9,6.92404258190497,11.803115735754922,89.9,0.8,11.245716605833143,1200
scripts\rudder_step_-5.csv,119.9,6.92404258190497,11.803115735754922,89.9,0.8,11.245716605833143,1200
scripts\rudder_step_10.csv,119.9,6.92404258190497,11.803115735754922,89.9,0.8,11.245716605833143,1200
scripts\rudder_step_5.csv,119.9,6.92404258190497,11.803115735754922,89.9,0.8,11.245716605833143,1200
