t,psi_deg,r_meas_deg_s,rud_deg
0.0,0.03944982769773801,0.07889965539547603,10.0
0.5,0.11834948309321405,0.15779931079095205,10.0
1.0,0.2366989661864281,0.2366989661864281,10.0
1.5,0.39449827697738016,0.3155986215819041,10.0
2.0,0.5917474154660702,0.39449827697738016,10.0
2.5,0.8284463816524983,0.4733979323728562,10.0
3.0,1.1045951755366645,0.5522975877683323,10.0
3.5,1.4201937971185685,0.6311972431638082,10.0
4.0,1.7752422463982107,0.7100968985592843,10.0
4.5,2.169740523375591,0.7889965539547603,10.0
5.0,2.6036886280507088,0.8678962093502364,10.0
5.5,3.077086560423565,0.9467958647457124,10.0
6.0,3.589934320494159,1.0256955201411884,10.0
6.5,4.142231908262491,1.1045951755366645,10.0
7.0,4.733979323728561,1.1834948309321405,10.0
7.5,5.365176566892369,1.2623944863276164,10.0
8.0,6.035823637753916,1.3412941417230926,10.0
8.5,6.745920536313201,1.4201937971185685,10.0
9.0,7.495467262570222,1.4990934525140447,10.0
9.5,8.284463816524982,1.5779931079095206,10.0
10.0,9.112910198177481,1.6568927633049966,10.0
10.5,9.980806407527716,1.7357924187004727,10.0
11.0,10.888152444575692,1.8146920740959487,10.0
11.5,11.834948309321405,1.8935917294914248,10.0
12.0,12.821194001764853,1.9724913848869008,10.0
12.5,13.846889521906043,2.0513910402823767,10.0
13.0,14.91203486974497,2.1302906956778527,10.0
13.5,16.016630045281634,2.209190351073329,10.0
14.0,17.160675048516037,2.288090006468805,10.0
14.5,18.344169879448177,2.366989661864281,10.0
15.0,19.567114538078055,2.445889317259757,10.0
15.5,20.829509024405674,2.524788972655233,10.0
16.0,22.131353338431026,2.603688628050709,10.0
16.5,23.47264748015412,2.682588283446185,10.0
17.0,24.85339144957495,2.761487938841661,10.0
17.5,26.273585246693518,2.840387594237137,10.0
18.0,27.733228871509823,2.919287249632613,10.0
18.5,29.232322324023873,2.9981869050280894,10.0
19.0,30.770865604235652,3.0770865604235653,10.0
19.5,32.34885871214517,3.1559862158190413,10.0
20.0,33.96630164775243,3.234885871214517,10.0
20.5,35.623194411057426,3.313785526609993,10.0
21.0,37.31953700206016,3.3926851820054695,10.0
21.5,39.055329420760636,3.4715848374009455,10.0
22.0,40.83057166715884,3.5504844927964214,10.0
22.5,42.645263741254794,3.6293841481918974,10.0
23.0,44.499405643048476,3.708283803587373,10.0
23.5,46.3929973725399,3.7871834589828497,10.0
24.0,48.326038929729066,3.866083114378326,10.0
24.5,50.29853031461597,3.9449827697738025,10.0
25.0,52.31047152720061,4.023882425169279,10.0
25.5,54.36186256748299,4.102782080564755,10.0
26.0,56.4527034354631,4.181681735960232,10.0
26.5,58.58299413114095,4.260581391355708,10.0
27.0,60.75273465451655,4.339481046751184,10.0
27.5,62.96192500558988,4.418380702146661,10.0
28.0,65.21056518436095,4.497280357542137,10.0
28.5,67.49865519082975,4.576180012937614,10.0
29.0,69.8261950249963,4.65507966833309,10.0
29.5,72.19318468686059,4.733979323728566,10.0
30.0,74.59962417642261,4.812878979124043,10.0
30.5,77.04551349368238,4.891778634519519,10.0
31.0,79.53085263863987,4.9706782899149955,10.0
31.5,82.0556416112951,5.049577945310473,10.0
32.0,84.61988041164807,5.128477600705949,10.0
32.5,87.22356903969879,5.2073772561014255,10.0
33.0,89.86670749544724,5.286276911496902,10.0
33.5,92.54929577889344,5.365176566892378,10.0
34.0,95.27133389003735,5.444076222287855,10.0
34.5,98.03282182887902,5.522975877683331,10.0
35.0,100.83375959541843,5.6018755330788075,10.0
35.5,103.67414718965557,5.680775188474284,10.0
36.0,106.55398461159045,5.75967484386976,10.0
36.5,109.47327186122307,5.838574499265237,10.0
37.0,112.43200893855342,5.917474154660713,10.0
37.5,115.43019584358153,5.996373810056189,10.0
38.0,118.46783257630736,6.075273465451666,10.0
38.5,121.54491913673094,6.154173120847142,10.0
39.0,124.66145552485224,6.233072776242619,10.0
39.5,127.81744174067128,6.311972431638095,10.0
40.0,131.01287778418808,6.390872087033571,10.0
40.5,134.2477636554026,6.469771742429048,10.0
41.0,137.52209935431483,6.548671397824524,10.0
41.5,140.83588488092485,6.6275710532200005,10.0
42.0,144.1891202352326,6.706470708615478,10.0
