t,x,y
0.0,0.0,0.0
0.5,2.5019086411608,0.00042934441613491837
1.0,5.005720836047324,0.0021480289844310616
1.5,7.511430039229319,0.006103315559569327
2.0,10.01902718878668,0.01323928512088918
2.5,12.52849967056209,0.02449494877829924
3.0,15.039830317080353,0.04080236139009751
3.5,17.552996451211673,0.06308473992200408
4.0,20.067968984301725,0.09225458888442173
4.5,22.584711578058098,0.12921183542782336
5.0,25.103179878972785,0.1748419769485309
5.5,27.62332083347667,0.23001424435252443
6.0,30.14507209136775,0.2955797844361671
6.5,32.66836150433414,0.37236986516218007
7.0,35.19310672561001,0.46119410792879545
7.5,37.71921491596299,0.5628387512414638
8.0,40.24658256032069,0.6780649504914286
8.5,42.775095398408,0.8076071188156271
9.0,45.304628471793855,0.9521713142497114
9.5,47.835046288741765,1.112433678582899
10.0,50.36620310723299,1.2890389334728232
10.5,52.89794333549161,1.4825989394742503
11.0,55.430102048296945,1.6936913236720172
11.5,57.96250561632992,1.9228581815813424
12.0,60.49497244477562,2.170604858884413
12.5,63.02731381640422,2.4373988184086475
13.0,65.55933483338673,2.723668597518325
13.5,68.09083545117994,3.029802860787678
14.0,70.621611596946,3.356149552451729
14.5,73.15145636416564,3.703015152694
15.0,75.6801612743683,4.070664041331945
15.5,78.20751759624491,4.459317971906936
16.0,80.73331771183796,4.869155658582336
16.5,83.25735651902346,5.300312477608176
17.0,85.77943285911682,5.752880284432502
17.5,88.29935112789914,6.22690644446674
18.0,90.81692315940909,6.722391803458529
18.5,93.33197018740017,7.239288788840023
19.0,95.84432486904596,7.777499651764634
19.5,98.35383335370973,8.336874858269185
20.0,100.86035737792507,8.917211636702614
20.5,103.3637763661882,9.518252687230449
21.0,105.86398951576902,10.139685057855484
21.5,108.36091784253244,10.781139189999374
22.0,110.85450616374874,11.442188135285436
22.5,113.344724993083,12.1223469437738
23.0,115.83157232240893,12.821072222554482
23.5,118.31507526480755,13.53776186233312
24.0,120.79528439904124,14.2717790345566
24.5,123.27227328320724,15.022455842661884
25.0,125.7461384068739,15.789094853152868
25.5,128.21699899467473,16.570970649463288
26.0,130.68499666253138,17.36733140248036
26.5,133.1502949287385,18.177400452115464
27.0,135.6130785831704,19.000377894872877
27.5,138.07355291885318,19.835442172975103
28.0,140.53194283108314,20.68175166124244
28.5,142.98849179015522,21.538446248583977
29.0,145.44346069459297,22.404648911625383
29.5,147.897126612538,23.279467278664306
30.0,150.34978141966195,24.16199518279538
30.5,152.80173034260366,25.051314203672895
31.0,155.25329041750848,25.946495197969508
31.5,157.7047885932075,26.846600583224422
32.0,160.15656032545095,27.75068508967215
32.5,162.60894784589559,28.657797259747387
33.0,165.06229838895894,29.566980941389783
33.5,167.51696238795216,30.4772767773067
34.0,169.97329165207287,31.387723692555422
34.5,172.4316375359422,32.29736038292708
35.0,174.89234911340662,33.20522680665068
35.5,177.3557713672936,34.1103656818867
36.0,179.82224340671223,35.01182399234676
36.5,182.29209672332496,35.90865450316048
37.0,184.76565377273064,36.79991652574773
37.5,187.24322605631988,37.684678231750716
38.0,189.7251125577121,38.56201821171203
38.5,192.2115982610304,39.431027048866724
39.0,194.70295276063123,40.29080890802874
39.5,197.19942897133672,41.14048313895834
40.0,199.7012619475829,41.97918589296988
40.5,202.2088174344085,42.80561792740116
41.0,204.72245114373357,43.618444458304786
41.5,207.24249261530068,44.41633695026437
42.0,209.76924307127481,45.1979741523291
42.5,212.30297337810927,45.962043212192086
43.0,214.8439221248424,46.70724087111179
43.5,217.39229382684675,47.432274741132964
44.0,219.94825726386557,48.135864665182794
44.5,222.51194396093572,48.81674415960852
45.0,225.08344682050546,49.473661937692135
45.5,227.6628189137075,50.10538351163606
46.0,230.25007243833642,50.71069286947003
46.5,232.8451778506034,51.288394222293896
47.0,235.4480631771968,51.83731381625364
47.5,238.05861351356444,52.35630180265905
48.0,240.6766707136499,52.844234158701674
48.5,243.30203327556325,53.30001465033101
49.0,245.9344564268475,53.72257682800546
49.5,248.57365241211735,54.11088604526299
50.0,251.21929098490196,54.463941489362895
50.5,253.87100010452252,54.78077821264501
51.0,256.52836683778474,55.06046915274291
51.5,259.19093846417286,55.30212712938204
52.0,261.8582237821038,55.50490680519748
52.5,264.52972495435415,55.66750885766038
53.0,267.20489148205024,55.788556054042196
53.5,269.8831084399461,55.86675959537793
54.0,272.56370002390713,55.90092362720892
54.5,275.2459337211276,55.88994951116998
55.0,277.9290250555809,55.832838997425185
55.5,280.6121428843673,55.728698770973445
56.0,283.2944152336648,55.57674372782597
56.5,285.9749355992294,55.376299831026905
57.0,288.65276965695296,55.12680650924619
57.5,291.32696232409336,54.827818565436935
58.0,293.996545107562,54.47900756848864
58.5,296.66054367216395,54.08016270682689
59.0,299.3179855590117,53.63119108940166
59.5,301.96790798252084,53.132117486348605
60.0,304.609366337071,52.583086893683976
60.5,307.24144329659384,51.984367982064484
61.0,309.86325822039447,51.33635586894187
61.5,312.47397676934355,50.63957419129436
62.0,315.0728206289943,49.89467646756358
62.5,317.65907722986975,49.102446749494035
63.0,320.23210935027123,48.26379957708898
63.5,322.791364483582,47.37977926263123
64.0,325.33637589092166,46.45153671958656
64.5,327.86676076187575,45.4803048372773
65.0,330.3822239576333,44.46739382547469
65.5,332.88256084658957,43.414185745857296
66.0,335.3676594541664,42.32212901068968
66.5,337.837501919823,41.19273290471736
67.0,340.29216526072224,40.027562183687195
67.5,342.73158237810435,38.82774561090311
68.0,345.1556636099373,37.59427496971689
68.5,347.5643713097482,36.32816516710289
69.0,349.95771999190947,35.030452064152726
69.5,352.3357762793729,33.70219036810567
70.0,354.69865865808583,32.34445159673709
70.5,357.0465370430993,30.958322125034933
71.0,359.37963216207396,29.54490132313555
71.5,361.6982147624997,28.105299793476494
72.0,364.0026046494713,26.640637714064926
72.5,366.29316956130623,25.152043293666907
73.0,368.57032389064864,23.640651343604866
73.5,370.83452725898803,22.107601969718587
74.0,373.08628295272393,20.55403938690835
74.5,375.3261362290443,18.981110857547087
75.0,377.5546724999546,17.38996575393032
75.5,379.77251540280395,15.781754743836613
76.0,381.980324765613,14.157629097205168
76.5,384.1787944754197,12.518740110908054
77.0,386.3686502577319,10.8662386476093
77.5,388.5506473750186,9.201274783767417
78.0,390.72556825199104,7.524997560957346
78.5,392.89422003522566,5.83855483386729
79.0,395.0574320944785,4.143093207569359
79.5,397.2160534728284,2.439758055974385
80.0,399.370950292586,0.7296936127635743
80.5,401.52329369096964,-0.9855923335667744
81.0,403.6744893107536,-2.70431748539427
81.5,405.82595133331154,-4.424702373091318
82.0,407.97909806173993,-6.14496686553315
82.5,410.13534750123887,-7.863326663547053
83.0,412.2961129223066,-9.577989794594671
83.5,414.4627983923111,-11.287153127078506
84.0,416.6367942611158,-12.988998922846093
84.5,418.81947258665883,-14.68169144673019
85.0,421.0121824867162,-16.36337365230873
85.5,423.21624540352667,-18.032163963492025
86.0,425.43295026851297,-19.686153172043237
86.5,427.66354855501663,-21.323401471707445
87.0,429.9092457075165,-22.941940506810848
87.5,432.17118464499697,-24.539787124510895
88.0,434.4504400371008,-26.114943424131464
88.5,436.7480127366377,-27.665397175375443
89.0,439.06482439119776,-29.189122624559666
89.5,441.4017122583141,-30.684081704645067
90.0,443.75942425021185,-32.14822566122707
90.5,446.1386142356277,-33.57949710282491
91.0,448.5398376274358,-34.975832479783506
91.5,450.9635472858315,-36.335164991903554
92.0,453.4100897675581,-37.65542792057234
92.5,455.87970195207686,-38.934558376714385
93.0,458.372508075638,-40.170501451353935
93.5,460.8885172038794,-41.36121475102365
94.0,463.42762117283485,-42.50467329571033
94.5,465.98959302705026,-43.598874752549506
95.0,468.5740859818742,-44.641844974117454
95.5,471.18063293489723,-45.631643805976786
96.0,473.8086465489661,-46.56637112416517
96.5,476.4574199262003,-47.44417305963302
97.0,479.126127889006,-48.2632483632905
97.5,481.8138288802434,-49.021854862371455
98.0,484.51946749048705,-49.7183159563137
98.5,487.2418776157681,-50.35102709833964
99.0,489.97978624435245,-50.91846220744204
99.5,492.7318178660401,-51.41917995457419
100.0,495.496499492236,-51.851829866543206
100.5,498.27226626970366,-52.2151581914321
101.0,501.0574676655442,-52.50801347034642
