t,psi_deg,cmd_rudder_deg,applied_rudder_deg
0.0,5.506111821422906e-05,0.49847328176381617,0.49847328176381617
0.1,0.00022024447285691625,0.9969465635276323,0.9969465635276323
0.2,0.0005506111821677351,1.4954198452914484,1.4954198452914484
0.30000000000000004,0.0011012223643354702,1.9938931270552647,1.9938931270552647
0.4,0.0019271391375997949,2.492366408819081,2.492366408819081
0.5,0.003083422620149494,2.990839690582897,2.990839690582897
0.6000000000000001,0.004625133930224241,3.4893129723467133,3.4893129723467133
0.7000000000000001,0.006607334186038265,3.9877862541105293,3.9877862541105293
0.8,0.009085084505805795,4.486259535874345,4.486259535874345
0.9,0.01211344600774106,4.984732817638162,4.984732817638162
1.0,0.01574747981005829,5.483206099401978,5.483206099401978
1.1,0.019987954218462,5.490161640137029,5.490161640137029
1.2000000000000002,0.024834554535539125,5.487312656491709,5.487312656491709
1.3,0.03028693261342323,5.484160842058644,5.484160842058644
1.4000000000000001,0.03634470687733063,5.480706411135994,5.480706411135994
1.5,0.043007462351157474,5.4769495947149895,5.4769495947149895
1.6,0.05027475068473076,5.472890640464902,5.472890640464902
1.7000000000000002,0.058146090183171205,5.468529812717176,5.468529812717176
1.8,0.0666209658377319,5.463867392448679,5.463867392448679
1.9000000000000001,0.07569882935887608,5.458903677263854,5.458903677263854
2.0,0.0853790992107798,5.45363898137615,5.45363898137615
2.1,0.0956611606480991,5.448073635588479,5.448073635588479
2.2,0.10654436575411126,5.442207987272606,5.442207987272606
2.3000000000000003,0.1180280334810697,5.436042400347943,5.436042400347943
2.4000000000000004,0.1301114496921618,5.4295772552590735,5.4295772552590735
2.5,0.14279386720537504,5.422812948952677,5.422812948952677
2.6,0.15607450583917004,5.415749894853321,5.415749894853321
2.7,0.16995255245993413,5.408388522838454,5.408388522838454
2.8000000000000003,0.1844271610313437,5.40072927921252,5.40072927921252
2.9000000000000004,0.19949745266535485,5.392772626680027,5.392772626680027
3.0,0.21516251567525502,5.3845190443178765,5.3845190443178765
3.1,0.23142140563031763,5.375969027546737,5.375969027546737
3.2,0.2482731454123397,5.367123088101422,5.367123088101422
3.3000000000000003,0.2657167252739858,5.357981754000499,5.357981754000499
3.4000000000000004,0.2837511028988626,5.34854556951496,5.34854556951496
3.5,0.3023752034634247,5.3388150951360585,5.3388150951360585
3.6,0.32158791970079015,5.328790907541946,5.328790907541946
3.7,0.34138811196610613,5.318473599564033,5.318473599564033
3.8000000000000003,0.3617746083037995,5.307863780151734,5.307863780151734
3.9000000000000004,0.3827462045167343,5.29696207433687,5.29696207433687
4.0,0.4043016642368965,5.285769123197034,5.285769123197034
4.1000000000000005,0.42643971899811434,5.274285583817903,5.274285583817903
4.2,0.44915906831022856,5.262512129254929,5.262512129254929
4.3,0.47245837973537524,5.250449448493948,5.250449448493948
4.4,0.49633628896571813,5.238098246410994,5.238098246410994
4.5,0.5207913999031155,5.225459243731372,5.225459243731372
4.6000000000000005,0.5458222847404912,5.212533176987583,5.212533176987583
4.7,0.5714274840448603,5.199320798476603,5.199320798476603
4.800000000000001,0.5976055068422366,5.185822876216164,5.185822876216164
4.9,0.6243548307042202,5.172040193900352,5.172040193900352
5.0,0.6516739018361885,5.157973550854135,5.157973550854135
5.1000000000000005,0.6795611351673685,5.143623761987098,5.143623761987098
5.2,0.708014914442616,5.128991657746454,5.128991657746454
5.300000000000001,0.7370335923157703,5.1140780840689235,5.1140780840689235
5.4,0.7666154904448167,5.0988839023322114,5.0988839023322114
5.5,0.7967588995888047,5.083409989305037,5.083409989305037
5.6000000000000005,0.8274620797063433,5.067657237096905,5.067657237096905
5.7,0.8587232600558006,5.051626553106647,5.051626553106647
5.800000000000001,0.8905406392972602,5.035318859970332,5.035318859970332
5.9,0.9229123855960804,5.018735095508194,5.018735095508194
6.0,0.955836636728233,5.001876212670797,5.001876212670797
6.1000000000000005,0.9893115001871207,4.98474317948448,4.98474317948448
6.2,1.023335053292223,4.967336978995724,4.967336978995724
6.300000000000001,1.0579053432993741,4.9496586092149695,4.9496586092149695
6.4,1.0930203875125393,4.931709083059347,4.931709083059347
6.5,1.1286781733974751,4.913489428294923,4.913489428294923
6.6000000000000005,1.1648766586967392,4.895000687477731,4.895000687477731
6.7,1.2016137715466826,4.87624391789439,4.87624391789439
6.800000000000001,1.2388874105956151,4.85722019150155,4.85722019150155
6.9,1.276695445124029,4.837930594864925,4.837930594864925
7.0,1.3150357151660967,4.8183762290970655,4.8183762290970655
7.1000000000000005,1.3539060316329492,4.798558209794837,4.798558209794837
7.2,1.3933041764375569,4.778477666975674,4.778477666975674
7.300000000000001,1.4332279026210115,4.758135745013341,4.758135745013341
7.4,1.4736749344806115,4.737533602572714,4.737533602572714
7.5,1.5146429676993254,4.716672412543906,4.716672412543906
7.6000000000000005,1.5561296694770832,4.6955533619755965,4.6955533619755965
7.7,1.5981326786632417,4.674177652007469,4.674177652007469
7.800000000000001,1.6406496058909301,4.652546497802117,4.652546497802117
7.9,1.6836780337128223,4.630661128475902,4.630661128475902
8.0,1.7272155167384087,4.608522787029222,4.608522787029222
8.1,1.7712595817728216,4.586132730276069,4.586132730276069
8.200000000000001,1.8158077279571871,4.563492228772662,4.563492228772662
8.3,1.860857426910477,4.540602566745465,4.540602566745465
8.4,1.9064061228728635,4.517465042018362,4.517465042018362
8.5,1.9524512328505994,4.494080965939209,4.494080965939209
8.6,1.9989901467623234,4.470451663305528,4.470451663305528
8.700000000000001,2.046020227586842,4.446578472289553,4.446578472289553
8.8,2.093538811512514,4.422462744362529,4.422462744362529
