step,agent_idx,A_m,B_m,V_m_s,U_m_s,term1_si,term2_si,term3_si,num_si,denom_si,ratio_si,Hz_raw,Hz
0,0,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,1,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,2,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,3,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,4,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,5,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,6,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,7,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,8,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
0,9,0.07552123850142164,0.09500000000000003,0.6837963321274878,0.4750000940395356,0.7581039007793753,0.20879623808795222,0.9509881171509742,0.0,0.15053118874979973,0.0,nan,0.0
