t,agent,err_deg,derr_deg,P_deg,I_deg,D_deg,raw_deg,rud_deg
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,-360.0,0.0,0.0,-180.0,-180.0,-180.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.04395565061750979,0.08834044765722784,0.04395565061750979,0.001098891265437745,0.04417022382861392,0.08922476571156146,0.08922476571156146
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0879165138352986,0.08878005628940573,0.0879165138352986,0.00329680411132021,0.044390028144702866,0.13560334609132166,0.13560334609132166
1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,0.13128813463516545,0.08802498835549899,0.13128813463516545,0.0065790074771993464,0.044012494177749495,0.18187963629011428,0.18187963629011428
2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.17386758230581098,0.0868563116514587,0.17386758230581098,0.010925697034844622,0.04342815582572935,0.22822143516638496,0.22822143516638496
2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.21545161465083207,0.08527141946510576,0.21545161465083207,0.016311987401115422,0.04263570973255288,0.2743993117845004,0.2743993117845004
3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.255837683680214,0.08326972336198245,0.255837683680214,0.02270792949312077,0.041634861680991224,0.32018047485432594,0.32018047485432594
3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.29482495614437687,0.08085269284990626,0.29482495614437687,0.030078553396730198,0.04042634642495313,0.3653298559660602,0.3653298559660602
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1,0.3322153441771958,0.07802388564788448,0.3322153441771958,0.03838393700116009,0.03901194282394224,0.4096112240022981,0.4096112240022981
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1,0.3678145411709057,0.07478896823780308,0.3678145411709057,0.04757930053043273,0.03739448411890154,0.45278832582024,0.45278832582024
5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1,0.40143305785283184,0.07115572641862257,0.40143305785283184,0.05761512697675352,0.035577863209311285,0.49462604803889665,0.49462604803889665
5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,1,0.4328872535095098,0.06713406562628339,0.4328872535095098,0.06843730831449128,0.033567032813141696,0.5348915946371429,0.5348915946371429
6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1,0.46200035716579924,0.06273600083055633,0.46200035716579924,0.07998731724363627,0.031368000415278166,0.5733556748247136,0.5733556748247136
6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,1,0.48860347352578265,0.05797563586494999,0.48860347352578265,0.09220240408178082,0.028987817932474996,0.6097936955400385,0.6097936955400385
7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1,0.5125365684471759,0.05286913209856417,0.5125365684471759,0.1,0.026434566049282085,0.638971134496458,0.638971134496458
7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1,0.5336714172507137,0.04747885810667124,0.5336714172507137,0.1,0.02373942905333562,0.6574108463040493,0.6574108463040493
8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1,0.5519268517294389,0.04189813587071457,0.5519268517294389,0.1,0.020949067935357286,0.6728759196647963,0.6728759196647963
8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,1,0.5672347336271697,0.03615236155799518,0.5672347336271697,0.1,0.01807618077899759,0.6853109144061674,0.6853109144061674
9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1,0.5795401992265636,0.03026755010446044,0.5795401992265636,0.1,0.01513377505223022,0.6946739742787938,0.6946739742787938
9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,1,0.5888018444117532,0.02427021798047787,0.5888018444117532,0.1,0.012135108990238935,0.7009369534019921,0.7009369534019921
10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1,0.5949918496570707,0.018187264246543173,0.5949918496570707,0.1,0.009093632123271586,0.7040854817803425,0.7040854817803425
10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,1,0.5980960446537322,0.012045850431901149,0.5980960446537322,0.1,0.006022925215950574,0.7041189698696828,0.7041189698696828
11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1,0.5981139125262848,0.0058732797684040525,0.5981139125262848,0.1,0.0029366398842020263,0.7010505524104869,0.7010505524104869
11.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,1,0.595058533891587,-0.00030312368460044044,0.595058533891587,0.1,-0.00015156184230022022,0.6949069720492869,0.6949069720492869
12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1,0.5889564712668665,-0.0064561354916194205,0.5889564712668665,0.1,-0.0032280677458097103,0.6857284035210568,0.6857284035210568
12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,1,0.579847594583981,-0.012558750339827994,0.579847594583981,0.1,-0.006279375169913997,0.673568219414067,0.673568219414067
13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1,0.5677848488238952,-0.018584300063772277,0.5677848488238952,0.1,-0.009292150031886139,0.6584926987920091,0.6584926987920091
13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,1,0.5528339650564175,-0.02450656968094027,0.5528339650564175,0.1,-0.012253284840470134,0.6405806802159474,0.6405806802159474
14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1,0.535073116383672,-0.030299910936769075,0.535073116383672,0.1,-0.015149955468384537,0.6199231609152875,0.6199231609152875
14.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,1,0.5145925205531493,-0.03593935286928314,0.5145925205531493,0.1,-0.01796967643464157,0.5966228441185079,0.5966228441185079
15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1,0.4914939911955877,-0.041400708918660746,0.4914939911955877,0.1,-0.020700354459330373,0.5707936367362573,0.5707936367362573
15.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,1,0.4658904399237429,-0.04666068012472648,0.4658904399237429,0.1,-0.02333034006236324,0.5425600998613797,0.5425600998613797
16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1,0.43790533163512285,-0.051696953975466635,0.43790533163512285,0.1,-0.025848476987733317,0.5120568546473896,0.5120568546473896
16.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,1,0.40767209568449997,-0.05648829848765805,0.40767209568449997,0.1,-0.028244149243829026,0.479427946440671,0.479427946440671
17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1,0.37533349564565294,-0.061014651128204256,0.37533349564565294,0.1,-0.030507325564102128,0.44482617008155084,0.44482617008155084
17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.5,1,0.3410409606672746,-0.06525720220354551,0.3410409606672746,0.1,-0.03262860110177276,0.40841235956550176,0.40841235956550176
18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1,0.30495388148915115,-0.06919847237636499,0.30495388148915115,0.1,-0.034599236188182496,0.3703546453009687,0.3703546453009687
18.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,1,0.26723887440954636,-0.07282238399027911,0.26723887440954636,0.1,-0.03641119199513956,0.3308276824144068,0.3308276824144068
19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1,0.22806901653980963,-0.07611432591760822,0.22806901653980963,0.1,-0.03805716295880411,0.2900118535810055,0.2900118535810055
19.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,1,0.18762305587957626,-0.07906121166960874,0.18762305587957626,0.1,-0.03953060583480437,0.24809245004477187,0.24809245004477187
