t,agent,err_deg,derr_deg,P_deg,I_deg,D_deg,raw_deg,rud_deg
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,-360.0,0.0,0.0,-36.0,-36.0,-36.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.04395565061750979,0.08834044765722784,0.00879113012350196,0.00021977825308754897,0.008834044765722785,0.017844953142312294,0.017844953142312294
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0879165138352986,0.08878005628940573,0.01758330276705972,0.0006593608222640419,0.008878005628940573,0.027120669218264337,0.027120669218264337
1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,0.13176370467974238,0.08898077136949963,0.026352740935948478,0.001318179345662754,0.008898077136949963,0.03656899741856119,0.03656899741856119
2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.1754557966355228,0.08909710547855765,0.03509115932710456,0.002195458328840368,0.008909710547855765,0.0461963282038007,0.0461963282038007
2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.21895057348887545,0.08912706720530052,0.04379011469777509,0.0032902111962847453,0.008912706720530052,0.05599303261458989,0.05599303261458989
3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.2622050714326887,0.08906874207611609,0.05244101428653773,0.004601236553448189,0.008906874207611609,0.06594912504759753,0.06594912504759753
3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.3051756227450865,0.08892029611815228,0.06103512454901731,0.006127114667173621,0.008892029611815228,0.07605426882800616,0.07605426882800616
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1,0.3478179009988507,0.08867997938932312,0.06956358019977014,0.007866204172167875,0.008867997938932313,0.08629778231087033,0.08629778231087033
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1,0.390086967801122,0.08834612947008251,0.07801739356022441,0.009816639011173484,0.00883461294700825,0.09666864551840615,0.09666864551840615
5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
