t,agent,err_deg,derr_deg,P_deg,I_deg,D_deg,raw_deg,rud_deg
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,-360.0,0.0,0.0,-36.0,-36.0,-36.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.04395565061750979,0.08834044765722784,0.04395565061750979,0.00021977825308754897,0.008834044765722785,0.05300947363632013,0.05300947363632013
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0879165138352986,0.08878005628940573,0.0879165138352986,0.0006593608222640419,0.008878005628940573,0.09745388028650322,0.09745388028650322
1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,0.1314553755594079,0.08836110295425387,0.1314553755594079,0.0013166377000610814,0.008836110295425387,0.14160812355489436,0.14160812355489436
2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.17437862765310133,0.087548909680803,0.17437862765310133,0.0021885308383265884,0.008754890968080301,0.18532204945950823,0.18532204945950823
2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.21649456910195783,0.08634541955757077,0.21649456910195783,0.0032710036838363775,0.008634541955757078,0.2284001147415513,0.2284001147415513
3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.25761426341060206,0.08475431757337301,0.25761426341060206,0.004559075000889388,0.0084754317573373,0.27064877016882877,0.27064877016882877
3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.2975523873582497,0.08278102162399091,0.2975523873582497,0.006046836937680636,0.008278102162399091,0.3118773264583294,0.3118773264583294
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1,0.33612806732449224,0.08043266580329449,0.33612806732449224,0.0077274772743030976,0.008043266580329448,0.35189881117912475,0.35189881117912475
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1,0.37316569942402283,0.07771807602029049,0.37316569942402283,0.009593305771423212,0.007771807602029049,0.3905308127974751,0.3905308127974751
5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
