t,agent,err_deg,derr_deg,P_deg,I_deg,D_deg,raw_deg,rud_deg
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,-360.0,0.0,0.0,-180.0,-180.0,-180.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.04395565061750979,0.08834044765722784,0.021977825308754896,0.001098891265437745,0.04417022382861392,0.06724694040280657,0.06724694040280657
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0879165138352986,0.08878005628940573,0.0439582569176493,0.00329680411132021,0.044390028144702866,0.09164508917367238,0.09164508917367238
1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,0.131480840335718,0.08841228111504375,0.065740420167859,0.00658382511971316,0.044206140557521874,0.11653038584509405,0.11653038584509405
2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.1745394968760722,0.08782128909308248,0.0872697484380361,0.010947312541614965,0.04391064454654124,0.1421277055261923,0.1421277055261923
2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.2169802157281226,0.08699971550513946,0.1084901078640613,0.016371817934818032,0.04349985775256973,0.16836178355144907,0.16836178355144907
3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.2586879242068599,0.0859408274005796,0.12934396210342994,0.02283901603998953,0.0429704137002898,0.19515339184370928,0.19515339184370928
3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.2995450916303952,0.08463856181196926,0.1497725458151976,0.030327643330749405,0.04231928090598463,0.22241947005193163,0.22241947005193163
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1,0.3394320931206083,0.08308756298905282,0.16971604656030415,0.03881344565876462,0.04154378149452641,0.25007327371359517,0.25007327371359517
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1,0.3782275895797915,0.08128321849590688,0.18911379478989576,0.0482691353982594,0.04064160924795344,0.2780245394361086,0.2780245394361086
5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1,0.41580892316010676,0.0792216940147253,0.20790446158005338,0.05866435847726207,0.03961084700736265,0.30617966706467814,0.30617966706467814
5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,1,0.45205252739224355,0.07689996669920146,0.22602626369612178,0.06996567166206817,0.03844998334960073,0.33444191870779066,0.33444191870779066
6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1,0.4868343511247591,0.07431585692144502,0.24341717556237955,0.08213653044018714,0.03715792846072251,0.3627116344632892,0.3627116344632892
6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,1,0.5200302953259875,0.07146805825598487,0.2600151476629938,0.09513728782333683,0.03573402912799244,0.390886464614323,0.390886464614323
7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1,0.5515166617204633,0.0683561655469693,0.27575833086023166,0.1,0.03417808277348465,0.4099364136337163,0.4099364136337163
7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1,0.581209738842686,0.06505933612151871,0.290604869421343,0.1,0.032529668060759354,0.4231345374821024,0.4231345374821024
8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1,0.6090514582476529,0.06162829007186618,0.30452572912382647,0.1,0.03081414503593309,0.4353398741597596,0.4353398741597596
8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,1,0.6349880963224518,0.058071193558070014,0.3174940481612259,0.1,0.029035596779035007,0.4465296449402609,0.4465296449402609
9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1,0.6589703746525056,0.05439645688474788,0.3294851873262528,0.1,0.02719822844237394,0.4566834157686267,0.4566834157686267
9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,1,0.6809535501178323,0.050612714847259516,0.34047677505891616,0.1,0.025306357423629758,0.46578313248254594,0.46578313248254594
10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1,0.7008974945763212,0.04672880666496585,0.3504487472881606,0.1,0.023364403332482925,0.47381315062064355,0.47381315062064355
10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,1,0.7187667639818671,0.042753755547267965,0.35938338199093356,0.1,0.021376877773633982,0.4807602597645676,0.4807602597645676
11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1,0.7345306568590981,0.03869674794014023,0.36726532842954906,0.1,0.019348373970070117,0.48661370239961926,0.48661370239961926
11.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,1,0.7481632620169368,0.03456711249951025,0.3740816310084684,0.1,0.017283556249755125,0.4913651872582236,0.4913651872582236
12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1,0.7596434954742295,0.030374298839816904,0.37982174773711475,0.1,0.015187149419908452,0.49500889715702323,0.49500889715702323
12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,1,0.7689551265270128,0.026127856105539176,0.3844775632635064,0.1,0.013063928052769588,0.497541491316276,0.497541491316276
13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1,0.7760867929830142,0.021837411413482017,0.3880433964915071,0.1,0.010918705706741009,0.4989621021982482,0.4989621021982482
13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,1,0.7810320055485785,0.017512648214778905,0.3905160027742893,0.1,0.008756324107389453,0.4992723268816787,0.4992723268816787
14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1,0.7837891414079164,0.013163284624591175,0.3918945707039582,0.1,0.006581642312295587,0.4984762130162539,0.4984762130162539
14.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,1,0.7843614270758952,0.00879905176682868,0.3921807135379476,0.1,0.00439952588341434,0.496580239421362,0.496580239421362
15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1,0.7827569105720011,0.004429672183272421,0.39137845528600057,0.1,0.0022148360916362103,0.49359329137763686,0.49359329137763686
15.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,1,0.7789884230670235,6.483835319315924e-05,0.38949421153351177,0.1,3.241917659657962e-05,0.48952663071010843,0.48952663071010843
16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1,0.7730735300873407,-0.0042858086288164255,0.38653676504367035,0.1,-0.0021429043144082127,0.4843938607292622,0.4843938607292622
16.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,1,0.7650344724636733,-0.008612700170297903,0.38251723623183664,0.1,-0.004306350085148952,0.4782108861466877,0.4782108861466877
17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1,0.7548980971753423,-0.012906361047989633,0.37744904858767114,0.1,-0.0064531805239948165,0.4709958680636763,0.4709958680636763
17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.5,1,0.7426957783111949,-0.017157429979181175,0.37134788915559747,0.1,-0.008578714989590588,0.4627691741660069,0.4627691741660069
18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1,0.7284633283317224,-0.02135667985332747,0.3642316641658612,0.1,-0.010678339926663736,0.4535533242391976,0.4535533242391976
18.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,1,0.7122408998978048,-0.025495037580557316,0.3561204499489024,0.1,-0.012747518790278658,0.4433729311586238,0.4433729311586238
19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1,0.6940728785122828,-0.029563603514411937,0.3470364392561414,0.1,-0.014781801757205969,0.43225463749893545,0.43225463749893545
19.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,1,0.6740077662506856,-0.0335536704083417,0.3370038831253428,0.1,-0.01677683520417085,0.4202270479211719,0.4202270479211719
