t,agent,err_deg,derr_deg,P_deg,I_deg,D_deg,raw_deg,rud_deg
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1,0.0,-360.0,0.0,0.0,-180.0,-180.0,-180.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.04395565061750979,0.08834044765722784,0.021977825308754896,0.00021977825308754897,0.04417022382861392,0.06636782739045637,0.06636782739045637
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0879165138352986,0.08878005628940573,0.0439582569176493,0.0006593608222640419,0.044390028144702866,0.0890076458846162,0.0890076458846162
1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,0.13149240244788712,0.08843551822130821,0.06574620122394356,0.0013168228345034776,0.044217759110654106,0.11128078316910114,0.11128078316910114
2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.17458563586562856,0.08789089328392219,0.08729281793281428,0.0021897510138316205,0.043945446641961095,0.133428015588607,0.133428015588607
2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.21709907370239961,0.08714631383450862,0.10854953685119981,0.0032752463823436185,0.04357315691725431,0.15539794015079772,0.15539794015079772
3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.2589363411680761,0.08620237051730088,0.12946817058403806,0.004569928088183999,0.04310118525865044,0.1771392839308725,0.1771392839308725
3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.30000205388718576,0.08506011337122062,0.15000102694359288,0.006069938357619928,0.04253005668561031,0.1986010219868231,0.1986010219868231
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1,0.3402020416824301,0.08372105189409655,0.17010102084121506,0.0077709485660320795,0.041860525947048276,0.21973249535429543,0.21973249535429543
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1,0.37944357076569013,0.08218715405572558,0.18972178538284507,0.009668166419860529,0.04109357702786279,0.2404835288305684,0.2404835288305684
5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1,0.41763556384976336,0.08046084425847107,0.20881778192488168,0.011756344239109347,0.040230422129235534,0.2608045482932266,0.2608045482932266
5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,1,0.4546888176328101,0.07854500024230994,0.22734440881640505,0.014029788327273397,0.03927250012115497,0.2806466972648334,0.2806466972648334
6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1,0.4905162171854483,0.07644294893761731,0.24525810859272415,0.016482369413200637,0.03822147446880866,0.29996195247473345,0.29996195247473345
6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,1,0.5250329466932381,0.07415846126800225,0.26251647334661904,0.019107534146666827,0.03707923063400113,0.31870323812728696,0.31870323812728696
7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,1,0.5581566960817471,0.07169574591057802,0.27907834804087356,0.02,0.03584787295528901,0.33492622099616254,0.33492622099616254
7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1,0.5898161849371931,0.06907616708588059,0.29490809246859656,0.02,0.034538083542940294,0.3494461760115369,0.3494461760115369
8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1,0.619947589765452,0.06631401637118345,0.309973794882726,0.02,0.033157008185591724,0.3631308030683177,0.3631308030683177
8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,1,0.6484907410186511,0.06341601508086646,0.32424537050932556,0.02,0.03170800754043323,0.3759533780497588,0.3759533780497588
9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1,0.6753892406612448,0.060389156524752116,0.3376946203306224,0.02,0.030194578262376058,0.3878891985929985,0.3878891985929985
9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.5,1,0.700590570902084,0.05724068937154359,0.350295285451042,0.02,0.028620344685771796,0.3989156301368138,0.3989156301368138
10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1,0.7240461938755954,0.05397810051800154,0.3620230969377977,0.02,0.02698905025900077,0.40901214719679846,0.40901214719679846
10.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.5,1,0.7457116420785389,0.050609097503754905,0.37285582103926945,0.02,0.025304548751877452,0.4181603697911469,0.4181603697911469
11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1,0.7655465994284536,0.04714159051320458,0.3827732997142268,0.02,0.02357079525660229,0.4263440949708291,0.4263440949708291
11.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.5,1,0.7835149727788618,0.043583674005260954,0.3917574863894309,0.02,0.021791837002630477,0.4335493233920614,0.4335493233920614
12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,1,0.7995849537870126,0.03994360801394282,0.3997924768935063,0.02,0.01997180400697141,0.4397642809004777,0.4397642809004777
12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,1,0.8137290710453093,0.036229799162255695,0.40686453552265467,0.02,0.018114899581127848,0.4449794351037825,0.4449794351037825
13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1,0.8259242323765811,0.03245078143247176,0.41296211618829054,0.02,0.01622539071623588,0.44918750690452636,0.44918750690452636
13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.5,1,0.8361517572685646,0.02861519673663467,0.4180758786342823,0.02,0.014307598368317334,0.4523834770025996,0.4523834770025996
14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1,0.8443973994079051,0.02473177533116603,0.4221986997039526,0.02,0.012365887665583015,0.4545645873695356,0.4545645873695356
14.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.5,1,0.8506513593028882,0.020809316119178717,0.4253256796514441,0.02,0.010404658059589358,0.4557303377110334,0.4557303377110334
15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1,0.8549082870052805,0.016856666885230777,0.42745414350264027,0.02,0.008428333442615388,0.4558824769452557,0.4558824769452557
15.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.5,1,0.8571672749881791,0.01288270450593711,0.42858363749408956,0.02,0.006441352252968555,0.45502498974705813,0.45502498974705813
16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1,0.8574318412101418,0.008896315180709718,0.4287159206050709,0.02,0.004448157590354859,0.4531640781954258,0.4531640781954258
16.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.5,1,0.8557099024687549,0.004906374725794043,0.42785495123437745,0.02,0.0024531873628970214,0.45030813859727453,0.45030813859727453
17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1,0.8520137381227683,0.0009217289760045079,0.42600686906138413,0.02,0.00046086448800225396,0.44646773354938635,0.44646773354938635
17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.5,1,0.8463599443232523,-0.0030488256644375916,0.4231799721616262,0.02,-0.0015244128322187958,0.44165555932940737,0.44165555932940737
18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1,0.8387693788830841,-0.006996561478280299,0.41938468944154206,0.02,-0.0034982807391401496,0.4358864087024019,0.4358864087024019
18.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.5,1,0.8292670969538678,-0.010912838457345198,0.4146335484769339,0.02,-0.005456419228672599,0.4291771292482613,0.4291771292482613
19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,1,0.8178822776844805,-0.014789123050196548,0.40894113884224026,0.02,-0.007394561525098274,0.42154657731714196,0.42154657731714196
19.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.5,1,0.8046481420667858,-0.018617006593423087,0.4023240710333929,0.02,-0.009308503296711543,0.4130155677366814,0.4130155677366814
