sim_time,agent,role,flagged_give_way,crossing_lock,crossing_heading_deg,crossing_speed_mps,crossing_linger_s,post_avoid_s,integrator_flushed
nan,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.0,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.1,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.2,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.30000000000000004,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.4,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.5,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.6000000000000001,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.7000000000000001,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.8,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
0.9,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.0,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.1,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.2000000000000002,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.3,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.4000000000000001,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.5,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.6,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.7000000000000002,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.8,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
1.9000000000000001,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.0,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.1,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.2,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.3000000000000003,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.4000000000000004,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.5,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.6,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.7,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.8000000000000003,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
2.9000000000000004,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.0,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.1,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.2,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.3000000000000003,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.4000000000000004,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.5,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.6,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.7,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.8000000000000003,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
3.9000000000000004,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.0,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.1000000000000005,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.2,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.3,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.4,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.5,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.6000000000000005,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.7,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
4.800000000000001,0,neutral,0,-1,0.0,0.0,0.0,0.0,0
